Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Cause_of_accident,Accident_severity,Time_Period
Saturday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the right,Slight Injury,Morning
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,1,Going straight,3,No priority to vehicle,Slight Injury,Morning
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Earth roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,3,Moving Backward,3,No priority to vehicle,Slight Injury,Morning
Monday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Collision with roadside objects,2,3,Other,3,Changing lane to the left,Slight Injury,Morning
Friday,Unknown,Male,Junior high school,Employee,1-2yr,Public (12 seats),Governmental,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Rollover,2,3,Going straight,3,Changing lane to the right,Slight Injury,Afternoon
Friday,18-30,Male,Junior high school,Owner,2-5yr,Automobile,Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,3,Reversing,3,Changing lane to the right,Slight Injury,Afternoon
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,3,Changing lane to the left,Serious Injury,Afternoon
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,1,Other,3,Overtaking,Slight Injury,Morning
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Public (12 seats),Governmental,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Other,3,Driving carelessly,Slight Injury,Afternoon
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Other,3,Moving Backward,Slight Injury,Evening
Monday,18-30,Male,Above high school,Owner,5-10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,2,No priority to vehicle,Slight Injury,Night
Sunday,31-50,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,3,Changing lane to the left,Slight Injury,Evening
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Moving Backward,Slight Injury,Evening
Friday,31-50,Male,Junior high school,Owner,2-5yr,Automobile,Other,  Recreational areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,1,Going straight,3,No priority to vehicle,Slight Injury,Evening
Thursday,Over 51,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,1,Going straight,3,No distancing,Slight Injury,Morning
Friday,Under 18,Male,Junior high school,Owner,1-2yr,Lorry (11?40Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,3,Overtaking,Slight Injury,Morning
Monday,18-30,Male,Above high school,Employee,1-2yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,3,Changing lane to the left,Slight Injury,Afternoon
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Governmental, Industrial areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving carelessly,Slight Injury,Evening
Friday,31-50,Male,Above high school,Other,2-5yr,Lorry (11?40Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the right,Slight Injury,Evening
Friday,18-30,Male,High school,Employee,Above 10yr,Stationwagen,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,No priority to vehicle,Slight Injury,Evening
Saturday,18-30,Male,Elementary school,Employee,5-10yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,2,Driving at high speed,Slight Injury,Evening
Saturday,Over 51,Male,High school,Employee,1-2yr,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,2,Driving under the influence of drugs,Slight Injury,Evening
Saturday,Over 51,Male,High school,Employee,5-10yr,Lorry (11?40Q),Owner,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Entering a junction,3,Changing lane to the right,Serious Injury,Evening
Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Entering a junction,3,No distancing,Slight Injury,Evening
Thursday,31-50,Male,Above high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Entering a junction,3,Changing lane to the left,Slight Injury,Afternoon
Friday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Entering a junction,3,No distancing,Slight Injury,Evening
Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Governmental,Residential areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Entering a junction,3,Driving carelessly,Slight Injury,Evening
Sunday,Under 18,Male,Elementary school,Employee,5-10yr,Public (13?45 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Entering a junction,3,Driving under the influence of drugs,Serious Injury,Evening
Monday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,1,Entering a junction,3,Overturning,Slight Injury,Afternoon
Thursday,18-30,Male,Junior high school,Employee,1-2yr,Other,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,3,Changing lane to the right,Slight Injury,Morning
Thursday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the left,Slight Injury,Morning
Friday,31-50,Male,Illiterate,Employee,unknown,Public (12 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,No distancing,Slight Injury,Morning
Thursday,18-30,Male,Junior high school,Employee,1-2yr,Other,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,3,Moving Backward,Slight Injury,Evening
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,3,Moving Backward,Slight Injury,Evening
Thursday,31-50,Unknown,Junior high school,Owner,5-10yr,Public (12 seats),Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,2,Changing lane to the left,Slight Injury,Evening
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Overtaking,3,No priority to vehicle,Serious Injury,Afternoon
Monday,18-30,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,2,Going straight,3,Changing lane to the right,Serious Injury,Afternoon
Monday,31-50,Male,Junior high school,Employee,2-5yr,Other,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,3,Changing lane to the right,Slight Injury,Afternoon
Thursday,Over 51,Male,Junior high school,Employee,2-5yr,Other,Owner, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Reversing,3,Changing lane to the left,Slight Injury,Afternoon
Thursday,31-50,Male,Elementary school,Employee,5-10yr,Other,Governmental, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Changing lane to the right,Slight Injury,Afternoon
Sunday,31-50,Male,Elementary school,Employee,1-2yr,Pick up upto 10Q,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Other,3,Driving carelessly,Serious Injury,Evening
Saturday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,  Recreational areas,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No priority to vehicle,Slight Injury,Morning
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Governmental,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,3,No priority to vehicle,Fatal injury,Morning
Saturday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Governmental, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Changing lane to the left,Slight Injury,Afternoon
Saturday,Over 51,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,3,Moving Backward,Slight Injury,Afternoon
Saturday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,3,Driving carelessly,Slight Injury,Afternoon
Friday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,4,Going straight,3,No priority to vehicle,Fatal injury,Morning
Sunday,18-30,Male,Junior high school,Owner,5-10yr,Pick up upto 10Q,Owner,Other,One way,Escarpments,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,4,Getting off,3,Changing lane to the right,Fatal injury,Evening
Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,  Recreational areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,4,Getting off,3,Moving Backward,Fatal injury,Night
Sunday,Over 51,Male,Above high school,Employee,5-10yr,Automobile,Owner,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,No distancing,Slight Injury,Night
Sunday,Over 51,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Waiting to go,3,Changing lane to the left,Slight Injury,Night
Wednesday,Unknown,Male,Junior high school,Employee,1-2yr,Long lorry,Owner,Other,other,Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving to the left,Slight Injury,Afternoon
Wednesday,Unknown,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,3,Driving carelessly,Slight Injury,Afternoon
Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Overtaking,3,Changing lane to the right,Slight Injury,Afternoon
Friday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner, Hospital areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,3,Changing lane to the left,Slight Injury,Morning
Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,3,Driving carelessly,Slight Injury,Night
Thursday,Over 51,Male,Junior high school,Employee,1-2yr,Other,Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Other,1,1,Getting off,3,No distancing,Slight Injury,Evening
Thursday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Getting off,3,Driving to the left,Slight Injury,Evening
